provider,name,chosen_solution,replicate,success,duration,total_decisions,unique_decisions
AlphabeticalUnsound,argus-axum-15073555522447742375,0,2,true,65,126,126
AlphabeticalRelevant,random-20-4,0,2,true,72,28,28
AlphabeticalComplete,manual-1,0,0,true,69,47,47
AlphabeticalUnsound,argus-media-9498257760582091532,0,0,true,3,36,36
AlphabeticalUnsound,random-40-8,0,0,true,60,234,234
AlphabeticalUnsound,argus-media-9498257760582091532,0,1,true,3,36,36
AlphabeticalRelevant,argus-axum-4812161634194520255,0,1,true,44,22,22
AlphabeticalUnsound,argus-media-9498257760582091532,0,2,true,3,36,36
AlphabeticalRelevant,argus-diesel-8325909996476259911,0,2,true,37,37,37
AlphabeticalRelevant,argus-axum-18382130072991789967,0,0,true,56,34,34
AlphabeticalRelevant,argus-axum-7449751244533988244,0,1,true,45,7,7
AlphabeticalRelevant,random-10-3,0,2,true,19,18,18
AlphabeticalUnsound,manual-5,0,1,true,73,210,210
AlphabeticalUnsound,random-10-4,0,0,true,4,48,48
AlphabeticalUnsound,random-10-4,0,1,true,4,48,48
AlphabeticalUnsound,argus-axum-18226239923860325739,0,2,true,80,156,156
AlphabeticalRelevant,random-20-6,0,1,true,105,35,35
AlphabeticalUnsound,random-10-4,0,2,true,4,48,48
AlphabeticalComplete,argus-media-9498257760582091532,0,0,true,17,27,27
AlphabeticalUnsound,argus-axum-17497105317668159604,0,2,true,85,162,162
AlphabeticalUnsound,argus-hello-server-10345094108195090742,0,0,true,32,102,102
AlphabeticalComplete,argus-bevy-11770160436335055444,0,2,true,72,43,43
AlphabeticalComplete,argus-media-9498257760582091532,0,1,true,17,27,27
AlphabeticalUnsound,argus-axum-12393876099641280534,0,2,true,89,174,174
AlphabeticalComplete,random-20-6,0,2,true,99,53,53
AlphabeticalComplete,manual-7,0,0,true,178,74,74
AlphabeticalComplete,random-10-4,0,0,true,23,29,29
AlphabeticalUnsound,argus-hello-server-7267590467205405362,0,0,true,68,132,132
AlphabeticalRelevant,argus-axum-4812161634194520255,0,2,true,44,22,22
AlphabeticalComplete,argus-diesel-2829387904342691312,0,1,true,120,74,74
AlphabeticalUnsound,argus-axum-8866031756020282294,0,1,true,89,174,174
AlphabeticalUnsound,random-60-6,0,0,true,141,354,354
AlphabeticalRelevant,random-20-5,0,0,true,70,36,36
AlphabeticalRelevant,argus-axum-7449751244533988244,0,2,true,45,7,7
AlphabeticalUnsound,random-50-7,0,0,true,99,288,288
AlphabeticalComplete,argus-media-9498257760582091532,0,2,true,17,27,27
AlphabeticalUnsound,random-40-8,0,1,true,60,234,234
AlphabeticalRelevant,argus-axum-18382130072991789967,0,1,true,56,34,34
AlphabeticalRelevant,argus-diesel-12280181414965390748,0,2,true,110,61,61
AlphabeticalComplete,manual-1,0,1,true,69,47,47
AlphabeticalUnsound,argus-hello-server-10345094108195090742,0,1,true,28,102,102
AlphabeticalComplete,random-10-4,0,1,true,23,29,29
AlphabeticalComplete,random-20-7,0,2,true,96,52,52
