provider,name,chosen_solution,replicate,success,duration,total_decisions,unique_decisions
AlphabeticalUnsound,random-190-3,0,0,true,1417,1068,1068
AlphabeticalUnsound,random-180-3,0,0,true,1329,1074,1074
AlphabeticalRelevant,argus-axum-17497105317668159604,0,0,true,531,64,64
AlphabeticalUnsound,random-90-2,0,0,true,362,522,522
AlphabeticalRelevant,manual-7,0,0,true,133,30,30
AlphabeticalRelevant,random-60-6,0,0,true,394,36,36
AlphabeticalUnsound,manual-8,0,0,true,5,30,30
AlphabeticalRelevant,random-50-7,0,0,true,747,64,64
AlphabeticalRelevant,argus-axum-2593152621400048619,0,0,true,89,39,39
AlphabeticalRelevant,argus-axum-6256519327200940257,0,0,true,719,104,104
AlphabeticalComplete,manual-8,0,0,true,29,25,25
AlphabeticalUnsound,argus-axum-396255765337843740,0,0,true,23,72,72
AlphabeticalRelevant,manual-8,0,0,true,33,25,25
AlphabeticalRelevant,random-50-6,0,0,false,783,87,87
AlphabeticalUnsound,manual-9,0,0,true,13,84,84
AlphabeticalRelevant,random-50-3,0,0,false,793,123,123
AlphabeticalUnsound,random-60-7,0,0,true,97,240,240
AlphabeticalUnsound,random-50-8,0,0,true,93,294,294
AlphabeticalUnsound,random-80-7,0,0,true,236,462,462
AlphabeticalRelevant,argus-axum-8866031756020282294,0,0,true,666,101,101
AlphabeticalUnsound,random-70-4,0,0,true,12,18,18
AlphabeticalUnsound,random-190-2,0,0,true,1627,1122,1122
AlphabeticalComplete,manual-9,0,0,true,84,52,52
AlphabeticalUnsound,random-200-3,0,0,true,1617,1170,1170
AlphabeticalComplete,argus-axum-396255765337843740,0,0,true,151,56,56
AlphabeticalUnsound,random-110-8,0,0,true,410,600,600
AlphabeticalComplete,random-50-2,0,0,true,717,160,160
AlphabeticalComplete,random-40-3,0,0,true,350,101,101
AlphabeticalComplete,random-70-4,0,0,true,64,14,14
AlphabeticalRelevant,manual-9,0,0,true,66,33,33
AlphabeticalUnsound,random-10-10,0,0,true,4,48,48
AlphabeticalUnsound,random-150-9,0,0,true,829,894,894
AlphabeticalUnsound,random-100-10,0,0,true,314,522,522
AlphabeticalComplete,random-10-10,0,0,true,25,27,27
AlphabeticalRelevant,argus-axum-18226239923860325739,0,0,true,552,51,51
AlphabeticalRelevant,random-70-4,0,0,true,73,14,14
AlphabeticalRelevant,random-10-10,0,0,true,20,18,18
AlphabeticalUnsound,random-10-2,0,0,true,2,18,18
AlphabeticalComplete,random-10-2,0,0,true,10,17,17
AlphabeticalRelevant,random-10-2,0,0,true,12,17,17
AlphabeticalUnsound,random-10-3,0,0,true,4,54,54
AlphabeticalUnsound,random-100-9,0,0,true,350,582,582
AlphabeticalRelevant,random-40-6,0,0,true,386,80,80
AlphabeticalComplete,random-10-3,0,0,true,27,32,32
AlphabeticalUnsound,random-190-9,0,0,true,1257,1074,1074
AlphabeticalRelevant,argus-axum-396255765337843740,0,0,true,168,53,53
AlphabeticalRelevant,random-10-3,0,0,true,19,20,20
AlphabeticalUnsound,random-10-4,0,0,true,4,48,48
AlphabeticalUnsound,random-200-7,0,0,true,1482,1188,1188
AlphabeticalUnsound,random-170-10,0,0,true,969,972,972
AlphabeticalUnsound,random-40-7,0,0,true,44,162,162
AlphabeticalUnsound,argus-axum-18352723104139980097,0,0,true,105,198,198
AlphabeticalComplete,random-10-4,0,0,true,23,29,29
AlphabeticalUnsound,random-200-10,0,0,true,1106,924,924
AlphabeticalRelevant,random-10-4,0,0,true,23,23,23
AlphabeticalUnsound,random-10-5,0,0,true,3,42,42
AlphabeticalRelevant,random-40-3,0,0,true,214,30,30
AlphabeticalComplete,random-10-5,0,0,true,21,23,23
AlphabeticalRelevant,random-10-5,0,0,true,16,14,14
AlphabeticalUnsound,random-10-6,0,0,true,3,48,48
AlphabeticalComplete,random-60-2,0,0,true,694,131,131
AlphabeticalUnsound,random-70-5,0,0,true,193,408,408
AlphabeticalComplete,random-10-6,0,0,true,21,25,25
AlphabeticalRelevant,random-10-6,0,0,true,8,6,6
AlphabeticalUnsound,random-180-10,0,0,true,1086,1002,1002
AlphabeticalUnsound,random-10-7,0,0,true,3,42,42
AlphabeticalComplete,random-10-7,0,0,true,22,26,26
AlphabeticalRelevant,random-10-7,0,0,true,25,26,26
AlphabeticalUnsound,random-10-8,0,0,true,4,54,54
AlphabeticalComplete,random-10-8,0,0,true,22,23,23
AlphabeticalRelevant,random-10-8,0,0,true,19,14,14
AlphabeticalUnsound,random-10-9,0,0,true,3,48,48
AlphabeticalUnsound,random-160-7,0,0,true,924,942,942
AlphabeticalComplete,random-10-9,0,0,true,20,22,22
AlphabeticalRelevant,random-10-9,0,0,true,15,10,10
AlphabeticalComplete,random-40-7,0,0,true,277,92,92
AlphabeticalComplete,random-50-8,0,0,true,582,139,139
AlphabeticalComplete,random-60-7,0,0,true,611,129,129
AlphabeticalRelevant,random-60-2,0,0,true,330,40,40
AlphabeticalUnsound,random-110-4,0,0,true,433,564,564
AlphabeticalUnsound,random-170-9,0,0,true,1017,996,996
AlphabeticalRelevant,random-50-2,0,0,false,612,87,87
AlphabeticalUnsound,random-180-8,0,0,true,1154,1050,1050
AlphabeticalRelevant,random-40-7,0,0,true,221,56,56
AlphabeticalUnsound,random-60-3,0,0,true,112,246,246
AlphabeticalRelevant,random-60-7,0,0,true,248,36,36
AlphabeticalUnsound,random-170-6,0,0,true,1059,948,948
AlphabeticalComplete,argus-diesel-15648008676699765325,0,0,true,2231,134,134
AlphabeticalComplete,argus-axum-18352723104139980097,0,0,true,700,135,135
AlphabeticalUnsound,random-60-8,0,0,true,131,348,348
AlphabeticalUnsound,random-80-5,0,0,true,244,450,450
AlphabeticalUnsound,random-160-8,0,0,true,962,954,954
AlphabeticalUnsound,random-190-7,0,0,true,1284,1128,1128
AlphabeticalUnsound,random-190-6,0,0,true,1253,1050,1050
AlphabeticalComplete,manual-12,0,0,true,1922,289,289
AlphabeticalRelevant,random-50-8,0,0,true,888,88,88
AlphabeticalComplete,random-80-3,0,0,true,1761,260,260
AlphabeticalComplete,random-60-3,0,0,true,719,154,154
AlphabeticalComplete,random-80-7,0,0,true,1511,222,222
AlphabeticalUnsound,random-50-9,0,0,true,84,270,270
AlphabeticalComplete,random-70-5,0,0,true,1243,210,210
AlphabeticalRelevant,argus-axum-18352723104139980097,0,0,true,827,119,119
AlphabeticalComplete,random-60-8,0,0,true,822,165,165
AlphabeticalComplete,argus-diesel-15009615579564917699,0,0,true,3190,180,180
AlphabeticalComplete,random-50-9,0,0,true,535,135,135
AlphabeticalComplete,random-100-10,0,0,true,1998,270,270
AlphabeticalRelevant,random-60-3,0,0,true,795,105,105
AlphabeticalComplete,random-90-2,0,0,true,2566,304,304
AlphabeticalComplete,random-100-9,0,0,true,2236,295,295
AlphabeticalUnsound,random-60-4,0,0,true,146,348,348
AlphabeticalRelevant,random-70-5,0,0,true,871,50,50
AlphabeticalComplete,random-80-5,0,0,true,1552,220,220
AlphabeticalRelevant,random-50-9,0,0,true,560,59,59
AlphabeticalRelevant,random-60-8,0,0,true,868,50,50
AlphabeticalUnsound,random-70-6,0,0,true,198,414,414
AlphabeticalComplete,random-110-8,0,0,true,2650,290,290
AlphabeticalUnsound,random-60-10,0,0,true,141,354,354
AlphabeticalUnsound,random-60-9,0,0,true,136,354,354
AlphabeticalUnsound,random-180-5,0,0,true,1239,1074,1074
AlphabeticalRelevant,argus-diesel-15009615579564917699,0,0,true,3907,162,162
AlphabeticalComplete,random-60-4,0,0,true,934,179,179
AlphabeticalRelevant,random-80-3,0,0,false,1993,128,128
AlphabeticalRelevant,argus-diesel-15648008676699765325,0,0,true,2537,122,122
AlphabeticalComplete,random-110-4,0,0,true,2828,301,301
AlphabeticalComplete,random-60-9,0,0,true,849,162,162
AlphabeticalComplete,random-60-10,0,0,true,897,168,168
AlphabeticalUnsound,random-80-4,0,0,true,236,414,414
AlphabeticalRelevant,random-100-10,0,0,true,1624,70,70
AlphabeticalRelevant,random-80-7,0,0,true,2412,85,85
AlphabeticalComplete,random-70-6,0,0,true,1280,223,223
AlphabeticalComplete,random-150-7,0,0,true,5556,465,465
AlphabeticalUnsound,random-160-6,0,0,true,962,936,936
AlphabeticalUnsound,random-80-8,0,0,true,234,456,456
AlphabeticalComplete,random-150-6,0,0,true,5762,459,459
AlphabeticalUnsound,random-100-2,0,0,true,434,570,570
AlphabeticalUnsound,random-80-9,0,0,true,236,450,450
AlphabeticalComplete,random-160-10,0,0,true,5857,495,495
AlphabeticalRelevant,manual-12,0,0,true,3009,155,155
AlphabeticalUnsound,argus-diesel-2315795211719089505,0,0,true,809,606,606
AlphabeticalComplete,random-150-8,0,0,true,5106,411,411
AlphabeticalUnsound,random-180-4,0,0,true,40,24,24
AlphabeticalRelevant,random-60-4,0,0,true,1014,72,72
AlphabeticalUnsound,random-60-5,0,0,true,126,306,306
AlphabeticalUnsound,manual-13,0,0,true,235,402,402
AlphabeticalComplete,random-180-4,0,0,true,214,18,18
AlphabeticalRelevant,random-100-9,0,0,true,2235,72,72
AlphabeticalRelevant,random-60-10,0,0,true,1088,60,60
AlphabeticalRelevant,random-180-4,0,0,true,240,18,18
AlphabeticalComplete,random-150-3,0,0,true,6536,487,487
AlphabeticalComplete,random-150-9,0,0,true,5323,436,436
AlphabeticalRelevant,random-60-9,0,0,true,1331,84,84
AlphabeticalComplete,random-150-4,0,0,true,5719,442,442
AlphabeticalComplete,random-160-9,0,0,true,5765,459,459
AlphabeticalUnsound,random-110-10,0,0,true,432,654,654
AlphabeticalUnsound,random-70-10,0,0,true,167,378,378
AlphabeticalRelevant,random-80-5,0,0,true,2656,84,84
AlphabeticalComplete,random-80-4,0,0,true,1548,224,224
AlphabeticalComplete,random-160-5,0,0,true,6011,453,453
AlphabeticalComplete,random-60-5,0,0,true,824,172,172
AlphabeticalRelevant,random-70-6,0,0,true,1402,99,99
