provider,name,chosen_solution,replicate,success,duration,total_decisions,unique_decisions
AlphabeticalComplete,argus-bevy-11770160436335055444,0,0,true,2,6,6
AlphabeticalComplete,argus-axum-7449751244533988244,0,1,true,1,4,4
AlphabeticalUnsound,argus-axum-18226239923860325739,0,2,true,30,84,84
AlphabeticalRelevant,argus-uom-12620612547616295812,0,0,true,0,2,2
AlphabeticalComplete,argus-chumsky-7080345814600703276,0,0,true,31,30,30
AlphabeticalRelevant,argus-uom-15692225898143735533,0,0,true,0,2,2
AlphabeticalRelevant,argus-uom-12620612547616295812,0,1,true,0,2,2
AlphabeticalComplete,argus-axum-7449751244533988244,0,2,true,1,4,4
AlphabeticalRelevant,argus-uom-12620612547616295812,0,2,true,0,2,2
AlphabeticalRelevant,argus-uom-15692225898143735533,0,1,true,0,2,2
AlphabeticalComplete,argus-axum-8856632446763557465,0,1,true,2,7,7
AlphabeticalUnsound,argus-axum-12393876099641280534,0,0,true,33,114,114
AlphabeticalUnsound,argus-axum-15073555522447742375,0,0,true,28,90,90
AlphabeticalComplete,argus-bevy-11770160436335055444,0,1,true,2,6,6
AlphabeticalRelevant,argus-uom-15692225898143735533,0,2,true,0,2,2
AlphabeticalUnsound,argus-axum-17497105317668159604,0,1,true,15,48,48
AlphabeticalComplete,argus-axum-7673184455178036491,0,0,true,3,8,8
AlphabeticalUnsound,argus-uom-4056355276583185919,0,0,true,0,12,12
AlphabeticalUnsound,argus-uom-4056355276583185919,0,1,true,0,12,12
AlphabeticalRelevant,argus-chumsky-7080345814600703276,0,1,false,25,26,26
AlphabeticalUnsound,argus-uom-4056355276583185919,0,2,true,0,12,12
AlphabeticalUnsound,argus-axum-12393876099641280534,0,1,true,35,114,114
AlphabeticalComplete,argus-axum-8856632446763557465,0,2,true,2,7,7
AlphabeticalComplete,argus-bevy-11770160436335055444,0,2,true,2,6,6
AlphabeticalRelevant,argus-axum-7449751244533988244,0,0,true,4,4,4
AlphabeticalComplete,argus-axum-7673184455178036491,0,1,true,3,8,8
AlphabeticalUnsound,argus-axum-2355552700190003252,0,2,true,32,108,108
AlphabeticalUnsound,argus-axum-10310841651143324696,0,0,true,37,132,132
AlphabeticalUnsound,argus-axum-6256519327200940257,0,1,true,35,120,120
AlphabeticalUnsound,argus-axum-2355552700190003252,0,0,true,37,108,108
AlphabeticalRelevant,argus-axum-8856632446763557465,0,0,true,1,4,4
AlphabeticalRelevant,argus-axum-7449751244533988244,0,1,true,1,4,4
AlphabeticalComplete,argus-axum-396255765337843740,0,2,true,11,12,12
AlphabeticalRelevant,argus-axum-396255765337843740,0,0,true,11,12,12
AlphabeticalRelevant,argus-axum-7673184455178036491,0,0,true,3,8,8
AlphabeticalComplete,argus-uom-4056355276583185919,0,0,true,3,11,11
AlphabeticalRelevant,argus-bevy-11770160436335055444,0,0,true,2,6,6
AlphabeticalRelevant,argus-axum-7673184455178036491,0,1,true,3,8,8
AlphabeticalRelevant,argus-axum-8856632446763557465,0,1,true,1,4,4
AlphabeticalComplete,argus-axum-7673184455178036491,0,2,true,3,8,8
AlphabeticalUnsound,argus-diesel-12280181414965390748,0,0,true,10,72,72
AlphabeticalUnsound,argus-axum-15073555522447742375,0,1,true,25,90,90
AlphabeticalUnsound,argus-axum-10310841651143324696,0,1,true,40,132,132
